run,estimator,bias,variance,mse,fstat,num_instruments,strength
1,OLS,4.924469132705463,0.028131018507287154,24.27852725747619,10000.0,142,0.1
1,2SLS,1.1157792329497647,0.11742402050219258,1.3623873171841574,8.219050259905654,142,0.1
1,UJIVE1,-0.15152501227893192,0.25859123652299554,0.2815510658691259,38.43387393800897,142,0.1
1,UJIVE2,-0.14840372420378473,0.2607407923607167,0.2827644577182697,38.601793021503376,142,0.1
1,JIVE1,-0.3386669981862729,0.20687826864560604,0.3215736043061071,10000.0,142,0.1
1,JIVE2,-0.13603302484747662,0.2932635456360187,0.31176852948517286,39.696526683346626,142,0.1
1,HFUL,-0.09419386807183354,0.2189394335884857,0.22781191837081965,10000.0,142,0.1
1,SJIVE,-0.10241281167439656,0.21237073546454907,0.22285911945960452,10000.0,142,0.1
2,OLS,4.988198443155786,0.062051705632451326,24.944175413934268,10000.0,142,0.1
2,2SLS,1.0997863898426747,0.17184992296578944,1.3813800262489733,7.710849521027663,142,0.1
2,UJIVE1,-0.23528183737515107,0.27700958339167736,0.33236712639030447,33.659854568314636,142,0.1
2,UJIVE2,-0.23342075150431726,0.27536679565932287,0.3298520428921632,33.70572459379149,142,0.1
2,JIVE1,-0.3930219515170672,0.16599844119533047,0.3204646955696144,10000.0,142,0.1
2,JIVE2,-0.24433387727513117,0.28025485958156904,0.339953903165868,33.39045079675068,142,0.1
2,HFUL,-0.22903545249803298,0.2983504769389662,0.350807715439945,10000.0,142,0.1
2,SJIVE,-0.242619809560695,0.3082243856603684,0.3670887576516363,10000.0,142,0.1
3,OLS,5.096612471046116,0.13768372406742668,26.113142404090222,10000.0,142,0.1
3,2SLS,1.3845183733094582,0.0726359904002961,1.9895271164317638,7.965065237054179,142,0.1
3,UJIVE1,0.13708175072971804,0.09743758502020229,0.11622899140332683,47.14559333540582,142,0.1
3,UJIVE2,0.14299501523825045,0.09541705436224004,0.11586462874522754,47.39096785595428,142,0.1
3,JIVE1,-0.11189709230182616,0.07030521650251391,0.08282617576811732,10000.0,142,0.1
3,JIVE2,0.14117928947368946,0.0985161261529742,0.11844771792927003,47.384508462735276,142,0.1
3,HFUL,0.19573661194000433,0.06803439416271377,0.10634721541646561,10000.0,142,0.1
3,SJIVE,0.1620466162406995,0.06816766569668593,0.09442677153174646,10000.0,142,0.1
4,OLS,5.115257722703052,0.0921558974133381,26.258017467086546,10000.0,142,0.1
4,2SLS,1.3300723968691952,0.2097750117195913,1.9788675926329575,7.753522050200198,142,0.1
4,UJIVE1,0.025661400347732476,0.41736298515896725,0.41802149262677385,47.68891229445747,142,0.1
4,UJIVE2,0.02112534710573022,0.4191606691850643,0.4196069494754019,47.50116648542635,142,0.1
4,JIVE1,-0.20556163728936455,0.31679876776720933,0.35905435449229356,10000.0,142,0.1
4,JIVE2,0.014963603888081645,0.45052981062403213,0.4507537200653515,47.755163380825934,142,0.1
4,HFUL,-0.013624403003196983,0.3452575722043989,0.3454431965615924,10000.0,142,0.1
4,SJIVE,-0.04045410267718876,0.3699264049587607,0.37156293938217727,10000.0,142,0.1
5,OLS,5.150588506029024,0.19320512818600682,26.7217670866243,10000.0,142,0.1
5,2SLS,1.4044744410389562,0.18358992893036746,2.1561383844620563,7.846749272626593,142,0.1
5,UJIVE1,0.12619692363238083,0.20375278728932827,0.2196784508236053,48.09508194763203,142,0.1
5,UJIVE2,0.1302390729654908,0.20680118739254222,0.2237634035194526,48.3352318911996,142,0.1
5,JIVE1,-0.11910079337023491,0.14694132937943571,0.1611263283608551,10000.0,142,0.1
5,JIVE2,0.1194657484367869,0.20744208890820034,0.221714153957762,47.86946859279347,142,0.1
5,HFUL,0.1636805058957688,0.20316820130598706,0.22995950931628184,10000.0,142,0.1
5,SJIVE,0.16168212148118255,0.1953330092407534,0.22147411764740926,10000.0,142,0.1
6,OLS,4.9738663160283325,0.07301131285009135,24.81235744257134,10000.0,142,0.1
6,2SLS,1.1955000448400606,0.11546837876917622,1.5446887359817632,8.009710124753827,142,0.1
6,UJIVE1,-0.08193244877615373,0.2232597669680776,0.22997269313053467,40.93412411977065,142,0.1
6,UJIVE2,-0.08197328417515508,0.22596388999965197,0.2326835093181127,40.99221587275071,142,0.1
6,JIVE1,-0.2786253669203897,0.16895993021393305,0.2465920253054549,10000.0,142,0.1
6,JIVE2,-0.08091507308019501,0.24086454612772182,0.24741179517929512,41.27458486624639,142,0.1
6,HFUL,-0.039018243602832195,0.1507301423893511,0.15225256572320106,10000.0,142,0.1
6,SJIVE,-0.040097868471872446,0.14136163168594668,0.14296947074193428,10000.0,142,0.1
7,OLS,4.991802751010232,0.057994570517632724,24.97608927551095,10000.0,142,0.1
7,2SLS,1.119084207157115,0.07517823940315946,1.3275277021116285,7.767987530120864,142,0.1
7,UJIVE1,-0.21389510732246259,0.15852171082819144,0.2042728277646792,34.38723874540958,142,0.1
7,UJIVE2,-0.21531016564357502,0.15658635217510303,0.20294481960456673,34.305709696261665,142,0.1
7,JIVE1,-0.40195654354013904,0.10520879832458666,0.26677786121932234,10000.0,142,0.1
7,JIVE2,-0.22500718284739474,0.16991338861157743,0.22054162094449842,34.16968980194859,142,0.1
7,HFUL,-0.19629241688551186,0.15723674116556027,0.1957674540923159,10000.0,142,0.1
7,SJIVE,-0.21039452059147448,0.17283232207571533,0.21709817637063172,10000.0,142,0.1
8,OLS,4.908300726786543,0.0666340858536475,24.15805011042695,10000.0,142,0.1
8,2SLS,1.0556676459922385,0.17443270084723211,1.288866879642026,7.878525196765075,142,0.1
8,UJIVE1,-0.2558054746267534,0.35070046557522533,0.41613690642424384,34.94884501806125,142,0.1
8,UJIVE2,-0.261101156072597,0.3545446764958537,0.4227184901983003,34.80402168631607,142,0.1
8,JIVE1,-0.46316640957373767,0.3027244950514584,0.5172476180088857,10000.0,142,0.1
8,JIVE2,-0.2624650238753885,0.3766904109881436,0.4455782997460519,35.078657627220345,142,0.1
8,HFUL,-0.2260788688533185,0.22640857738347497,0.27752023232547096,10000.0,142,0.1
8,SJIVE,-0.24487443264946326,0.23554711036889606,0.2955105981342926,10000.0,142,0.1
9,OLS,4.97757574623795,0.02869200236023693,24.80495231189652,10000.0,142,0.1
9,2SLS,1.2787602465844692,0.07920594446164278,1.7144337127064155,8.237231916133856,142,0.1
9,UJIVE1,0.06021762023547517,0.12747804681072608,0.13110420859754998,45.57713718378424,142,0.1
9,UJIVE2,0.05575837863680253,0.1282234392200813,0.1313324360082863,45.37971279926103,142,0.1
9,JIVE1,-0.1732199954887958,0.09255120734736223,0.12255637418450067,10000.0,142,0.1
9,JIVE2,0.06463825770665355,0.13266802635200484,0.1368461307113566,45.87066812714175,142,0.1
9,HFUL,0.14878853755148153,0.11202964194152296,0.1341676708482316,10000.0,142,0.1
9,SJIVE,0.12343474686380876,0.12526844035145976,0.14050457708479228,10000.0,142,0.1
10,OLS,5.105247789731825,0.06594491343864156,26.129499908000327,10000.0,142,0.1
10,2SLS,1.232581581563145,0.035084636873662076,1.5543419920823656,7.488156410308821,142,0.1
10,UJIVE1,-0.13579664607724717,0.13445524853249682,0.15289597761832596,35.19701314241736,142,0.1
10,UJIVE2,-0.13671548192514546,0.13290174928066525,0.15159287227869,35.13715303696899,142,0.1
10,JIVE1,-0.3287010489215919,0.11909299685465384,0.22713737641680862,10000.0,142,0.1
10,JIVE2,-0.15633856542721677,0.15178746701386364,0.1762292140537038,34.67935327596112,142,0.1
10,HFUL,-0.1814506863972854,0.1528132247360374,0.18573757633008342,10000.0,142,0.1
10,SJIVE,-0.1927500862267352,0.15706000923904545,0.1942126049794593,10000.0,142,0.1
1,OLS,2.1330931305500838,0.018287139531171497,4.568373443131128,10000.0,142,0.2
1,2SLS,0.4593189981177444,0.01764935058969309,0.2286232926215816,28.813438114576748,142,0.2
1,UJIVE1,0.10850029386271373,0.01997052546217541,0.031742839230470644,111.9931242964602,142,0.2
1,UJIVE2,0.10819535662268895,0.01974643254901797,0.03145266774372881,111.94073403656834,142,0.2
1,JIVE1,0.05200866444804293,0.020452666851764008,0.023157568029433133,10000.0,142,0.2
1,JIVE2,0.3612051033158071,0.02513238796166147,0.1556015146230443,143.99731960988387,142,0.2
1,HFUL,0.10824941481480328,0.02098469780734709,0.032702633615094436,10000.0,142,0.2
1,SJIVE,0.11269623288548707,0.02350488523732637,0.036205326143906306,10000.0,142,0.2
2,OLS,2.0480955620351655,0.03491233374842383,4.2296077649765635,10000.0,142,0.2
2,2SLS,0.39224648481361263,0.04928716778846516,0.20314447263710084,29.067625030879128,142,0.2
2,UJIVE1,0.04651129263771161,0.054149197379348236,0.05631249772217909,107.62875391275415,142,0.2
2,UJIVE2,0.04686676705643693,0.05451219910991549,0.056708692964237827,107.68946730075488,142,0.2
2,JIVE1,0.004264429582310591,0.04459146322642481,0.04460964858608729,10000.0,142,0.2
2,JIVE2,0.2939339491618449,0.06887043662239148,0.1552676030922695,138.6319192527543,142,0.2
2,HFUL,0.0542080845130861,0.05873812200270798,0.061676638429285856,10000.0,142,0.2
2,SJIVE,0.04841738130567201,0.05908254864131675,0.06142679145381559,10000.0,142,0.2
3,OLS,2.0015419853113463,0.05103070728659587,4.057201026250683,10000.0,142,0.2
3,2SLS,0.3785446092128162,0.04104090567066866,0.1843369268347524,29.85314117464855,142,0.2
3,UJIVE1,0.040829293377844425,0.03938809390838195,0.04105512510611604,106.83633330151326,142,0.2
3,UJIVE2,0.04307885827968063,0.03922988536853503,0.041085673399215844,107.08072013742495,142,0.2
3,JIVE1,0.0007896037873601269,0.03956489826247767,0.03956552173661869,10000.0,142,0.2
3,JIVE2,0.2915132301967499,0.04768018080133961,0.1326601441810829,137.9352530525321,142,0.2
3,HFUL,0.06728302134544059,0.039771388261925514,0.044298393223296526,10000.0,142,0.2
3,SJIVE,0.06965963211369894,0.04251300338854599,0.04736546773476187,10000.0,142,0.2
4,OLS,1.8902122362629967,0.04150243597337238,3.614404734091731,10000.0,142,0.2
4,2SLS,0.22001747345633377,0.06529891179005812,0.11370660041616668,28.559990961390184,142,0.2
4,UJIVE1,-0.13165200770678268,0.07618698199192911,0.09351923312515589,88.55679222041294,142,0.2
4,UJIVE2,-0.132025491772532,0.07580408678468173,0.09323481726246062,88.50007100476381,142,0.2
4,JIVE1,-0.19197094854458713,0.07258617552132865,0.10943902060643715,10000.0,142,0.2
4,JIVE2,0.09177135039872783,0.09630249459453671,0.10472447534854279,113.51123724521067,142,0.2
4,HFUL,-0.13832494983925928,0.07262803648222524,0.09176182823025884,10000.0,142,0.2
4,SJIVE,-0.14150590796049073,0.0738240665478908,0.09384798853561369,10000.0,142,0.2
5,OLS,2.0799648559988784,0.029562498451456497,4.355816300641893,10000.0,142,0.2
5,2SLS,0.4647621816483653,0.028334894362043322,0.24433877985259142,29.35149785342083,142,0.2
5,UJIVE1,0.12774335615754787,0.03152946892028854,0.04784783396268266,117.86155614202798,142,0.2
5,UJIVE2,0.12804473845197872,0.031728351665515686,0.048123806710751324,117.90081605942746,142,0.2
5,JIVE1,0.10189909048462646,0.04371867721599563,0.05410210185758972,10000.0,142,0.2
5,JIVE2,0.38638006986792267,0.041047407709192664,0.19033696610033352,152.09183888118372,142,0.2
5,HFUL,0.14939544965040188,0.0406759587154554,0.06299495909170116,10000.0,142,0.2
5,SJIVE,0.15401852394098392,0.047112312867284935,0.07083401858424436,10000.0,142,0.2
6,OLS,2.009850825097941,0.01951607231677353,4.0590164114636496,10000.0,142,0.2
6,2SLS,0.2447949490915568,0.028457957934763366,0.08838252503550127,27.642839003851726,142,0.2
6,UJIVE1,-0.12785377126103425,0.033844445514255375,0.05019103233992424,84.53675008505523,142,0.2
6,UJIVE2,-0.12547921686193325,0.03379046085798313,0.049535494722267204,84.759167085244,142,0.2
6,JIVE1,-0.16635486518551726,0.02715353948851461,0.054827480659406236,10000.0,142,0.2
6,JIVE2,0.09606259033210751,0.043515194447620406,0.05274321570893472,108.37788300744782,142,0.2
6,HFUL,-0.076341752183648,0.03788259946020849,0.043710662586678016,10000.0,142,0.2
6,SJIVE,-0.07719956967752666,0.03595105519051174,0.04191082874890704,10000.0,142,0.2
7,OLS,2.0104761045741126,0.03767950802761906,4.079693675091117,10000.0,142,0.2
7,2SLS,0.35571929319646123,0.0489478523876635,0.17548406793985344,29.17659231141443,142,0.2
7,UJIVE1,0.011063676033709701,0.05391564857167985,0.054038053499058734,103.19723275591666,142,0.2
7,UJIVE2,0.014529619022381035,0.053393467016354015,0.05360457684528954,103.56778691085583,142,0.2
7,JIVE1,-0.025723017496014446,0.05317264575557479,0.05383431938467505,10000.0,142,0.2
7,JIVE2,0.2580900570820367,0.06734353722993724,0.1339540147945462,133.2688737456195,142,0.2
7,HFUL,0.027477633889445508,0.05589735784149967,0.05665237820566209,10000.0,142,0.2
7,SJIVE,0.01713882782902265,0.06251109259033759,0.06280483200969048,10000.0,142,0.2
8,OLS,2.0532349577116236,0.0021722676145132184,4.217946059183566,10000.0,142,0.2
8,2SLS,0.4360708095066192,0.007873581712205317,0.1980313326159635,29.706189891897434,142,0.2
8,UJIVE1,0.09862278008141476,0.012966459193652375,0.02269291194463947,111.4023492070723,142,0.2
8,UJIVE2,0.09819753099821424,0.012797496624015942,0.022440251718161185,111.3466640689993,142,0.2
8,JIVE1,0.0562038383234742,0.01925450127730886,0.022413372719600092,10000.0,142,0.2
8,JIVE2,0.35346617446673223,0.017316079982892967,0.14225441647503936,143.53866183795807,142,0.2
8,HFUL,0.07587066454230051,0.010963403940537814,0.016719761678628108,10000.0,142,0.2
8,SJIVE,0.06996222223764789,0.010607263805349054,0.01550197634577909,10000.0,142,0.2
9,OLS,2.065390957432148,0.050403375329710357,4.316243182372195,10000.0,142,0.2
9,2SLS,0.4049529799011108,0.06358165033859073,0.22756856626938013,29.010206983483727,142,0.2
9,UJIVE1,0.05842832774562543,0.06874337980184379,0.07215724928499402,109.64142817326884,142,0.2
9,UJIVE2,0.06028489178430831,0.06847663592449568,0.07211090410194144,109.85051363577941,142,0.2
9,JIVE1,-0.0010807501549775279,0.061407405597404506,0.06140857361830199,10000.0,142,0.2
9,JIVE2,0.3084327925126772,0.08577405349899425,0.1809048409961624,141.36197382011696,142,0.2
9,HFUL,0.05801882625170822,0.06665898592179485,0.07002517012142077,10000.0,142,0.2
9,SJIVE,0.050640975218177744,0.06831521327763625,0.07087972164868435,10000.0,142,0.2
10,OLS,2.1643184582227604,0.03604379748608838,4.720318186089836,10000.0,142,0.2
10,2SLS,0.47105502230654767,0.05858976167446298,0.28048259571468515,28.054397688140305,142,0.2
10,UJIVE1,0.11565837099867116,0.0660836921175412,0.07946055089960746,113.41823155319938,142,0.2
10,UJIVE2,0.11469148489722818,0.064829536900841,0.07798367360877212,113.25677720478966,142,0.2
10,JIVE1,0.08253161392210953,0.048209789219180565,0.0550212565157687,10000.0,142,0.2
10,JIVE2,0.3662775088404578,0.08225965060605439,0.216418864088426,145.48303141296884,142,0.2
10,HFUL,0.12040230002111647,0.07213298435876998,0.08662969820914493,10000.0,142,0.2
10,SJIVE,0.11748764967828906,0.07300308847652616,0.08680643630345454,10000.0,142,0.2
1,OLS,1.0378099400623295,0.017836775771466477,1.0948862474636427,10000.0,142,0.30000000000000004
1,2SLS,0.16071132252246925,0.012484910941765874,0.038313040128687005,62.053146908800535,142,0.30000000000000004
1,UJIVE1,-0.0026492498506693663,0.012456821849279489,0.01246384037405076,196.4231524313511,142,0.30000000000000004
1,UJIVE2,-0.0032637960206724826,0.01201007969750368,0.012020732061968239,196.26960898587737,142,0.30000000000000004
1,JIVE1,-0.021318710078949234,0.01137212334340192,0.01182661074283221,10000.0,142,0.30000000000000004
1,JIVE2,0.28642691494783334,0.016043150279692685,0.09808352788622605,264.178855649537,142,0.30000000000000004
1,HFUL,0.004264552736907579,0.011012114193596542,0.011030300603642407,10000.0,142,0.30000000000000004
1,SJIVE,-0.007344171819612821,0.01096116654080259,0.011015103400518585,10000.0,142,0.30000000000000004
2,OLS,1.0077791531783145,0.027398531551468097,1.0430173531322688,10000.0,142,0.30000000000000004
2,2SLS,0.16428503988117496,0.031175919111584283,0.05816549344034353,64.07580133469905,142,0.30000000000000004
2,UJIVE1,0.00809259134529643,0.03270286124587719,0.03276835128055916,202.78251039147838,142,0.30000000000000004
2,UJIVE2,0.007999068376080687,0.03267997572061677,0.032743960815501974,202.7753232299805,142,0.30000000000000004
2,JIVE1,0.0018414664433190398,0.03433404399011893,0.03433743498878081,10000.0,142,0.30000000000000004
2,JIVE2,0.3024953661352002,0.04304574302638202,0.13454918955965087,273.5493878091629,142,0.30000000000000004
2,HFUL,0.027836528136282547,0.03187464894125752,0.03264952123993957,10000.0,142,0.30000000000000004
2,SJIVE,0.028665622393520107,0.03277148198854802,0.033593199895755904,10000.0,142,0.30000000000000004
3,OLS,1.0104824182703056,0.014044032185537495,1.0351187498189416,10000.0,142,0.30000000000000004
3,2SLS,0.14445493990173464,0.01030312164269104,0.03117035130470481,63.464579342153456,142,0.30000000000000004
3,UJIVE1,-0.016204139226802104,0.01010290547387033,0.010365479601951917,190.55507742253806,142,0.30000000000000004
3,UJIVE2,-0.01786267471705665,0.009957781779617309,0.010276856927664686,190.19438469716482,142,0.30000000000000004
3,JIVE1,-0.025859996578471888,0.010691531698480318,0.011360271121518894,10000.0,142,0.30000000000000004
3,JIVE2,0.2716409413464213,0.013063698799960628,0.08685249981553053,256.217274246034,142,0.30000000000000004
3,HFUL,-0.01572818271000571,0.010702032847318245,0.010949408578677568,10000.0,142,0.30000000000000004
3,SJIVE,-0.015247007020890635,0.010853484029384682,0.011085955252479771,10000.0,142,0.30000000000000004
4,OLS,0.9976829812882233,0.017758165696956242,1.0131294968491136,10000.0,142,0.30000000000000004
4,2SLS,0.1387281807410488,0.018724127901838035,0.03796963603355914,64.11242972281997,142,0.30000000000000004
4,UJIVE1,-0.020197191706503515,0.019701705414583964,0.020109631967413215,193.19059334038246,142,0.30000000000000004
4,UJIVE2,-0.020595367922869666,0.019723676108494643,0.02014784528837301,193.10793662762632,142,0.30000000000000004
4,JIVE1,-0.01538937154449389,0.017679186090205915,0.017916018846740392,10000.0,142,0.30000000000000004
4,JIVE2,0.2691892175531185,0.02646723518289318,0.09893007002975333,260.389350159381,142,0.30000000000000004
4,HFUL,-0.02273069863156123,0.02092789725917269,0.02144458191945155,10000.0,142,0.30000000000000004
4,SJIVE,-0.022279639156551668,0.01961147998607003,0.020107862307016177,10000.0,142,0.30000000000000004
5,OLS,1.0410601366798389,0.0039103357823803845,1.0877165439662249,10000.0,142,0.30000000000000004
5,2SLS,0.19076425854038548,0.011558725134301475,0.04794972747076451,63.166962754809745,142,0.30000000000000004
5,UJIVE1,0.0317009718612246,0.01434018307285179,0.015345134689797943,206.12132789672015,142,0.30000000000000004
5,UJIVE2,0.031810015503668486,0.014068120476833649,0.015079997563177277,206.11043350659867,142,0.30000000000000004
5,JIVE1,0.0029426399278279503,0.015546411622147182,0.01555507075189203,10000.0,142,0.30000000000000004
5,JIVE2,0.3279398743569176,0.019456423749327448,0.12700098494255835,277.6566353228958,142,0.30000000000000004
5,HFUL,0.02566515658126811,0.008479256484428196,0.009137956746769205,10000.0,142,0.30000000000000004
5,SJIVE,0.022593115290086386,0.007644822688665355,0.008155271547176487,10000.0,142,0.30000000000000004
6,OLS,1.0437251536176662,0.014774135274299124,1.10413633156852,10000.0,142,0.30000000000000004
6,2SLS,0.18117839337227287,0.015927079107514043,0.04875268933247209,62.7015597854706,142,0.30000000000000004
6,UJIVE1,0.019801137699598813,0.01714110660844604,0.01753319166264451,203.60133909711033,142,0.30000000000000004
6,UJIVE2,0.019181950398230608,0.017437154367697376,0.017805101588777555,203.48401698836864,142,0.30000000000000004
6,JIVE1,-0.003029298722506102,0.016056748722477896,0.016065925373228075,10000.0,142,0.30000000000000004
6,JIVE2,0.31274787138350274,0.0231952059535467,0.12100643700845867,274.0186710487221,142,0.30000000000000004
6,HFUL,0.03175511898792129,0.01724311911192349,0.018251506693860525,10000.0,142,0.30000000000000004
6,SJIVE,0.027121146592704058,0.017602769461715104,0.01833832605421805,10000.0,142,0.30000000000000004
7,OLS,1.0129695336486482,0.010194061442587787,1.0363013375429475,10000.0,142,0.30000000000000004
7,2SLS,0.12860827828904392,0.015051043023509209,0.03159113226798137,61.9207514982121,142,0.30000000000000004
7,UJIVE1,-0.036064514323795024,0.01675184457862084,0.01805249377203206,189.39826512996123,142,0.30000000000000004
7,UJIVE2,-0.03556970810591491,0.01664184505251912,0.01790704918725911,189.4997710616148,142,0.30000000000000004
7,JIVE1,-0.054969009178566466,0.016311329019394385,0.019332920989467713,10000.0,142,0.30000000000000004
7,JIVE2,0.2500966225047582,0.022201997994809087,0.08475031858309663,255.15340797934763,142,0.30000000000000004
7,HFUL,-0.02836769689204439,0.01797953968959768,0.018784265916556582,10000.0,142,0.30000000000000004
7,SJIVE,-0.03501457897713449,0.019827261301679427,0.02105328204262541,10000.0,142,0.30000000000000004
8,OLS,0.9824606631629589,0.03906811656727342,1.0042970712298747,10000.0,142,0.30000000000000004
8,2SLS,0.1503148349677024,0.01941349154094651,0.042008041152314116,66.0197383078187,142,0.30000000000000004
8,UJIVE1,-0.003461145450375702,0.01683603586041294,0.016848015388241596,204.17054890675576,142,0.30000000000000004
8,UJIVE2,-0.004404154968819696,0.01680311097021547,0.016822507551204853,203.94350569184635,142,0.30000000000000004
8,JIVE1,-0.011818087709727188,0.014080354871993698,0.0142200220691085,10000.0,142,0.30000000000000004
8,JIVE2,0.28865388451396895,0.021245222110698986,0.10456628715570274,275.23073386295397,142,0.30000000000000004
8,HFUL,-0.007286026792993417,0.019387060929122145,0.019440147115550366,10000.0,142,0.30000000000000004
