run,estimator,bias,variance,mse,fstat,num_instruments,strength
1,OLS,4.523149747700947,0.07903452348924292,20.537918163616375,10000.0,166,0.1
1,2SLS,1.3697190080548798,0.026981110631546724,1.9031112716583904,8.422656052585925,166,0.1
1,UJIVE1,0.21763703428083386,0.033105465877885196,0.08047134456844204,57.16051163694768,166,0.1
1,UJIVE2,0.21483623123340762,0.0325171762519351,0.07867178250250928,56.98622145233097,166,0.1
1,JIVE1,-0.01800630220356887,0.024375601104234413,0.02469982802328066,10000.0,166,0.1
1,JIVE2,0.2872047718606423,0.038140879005408676,0.1206274599849323,61.29917700274709,166,0.1
1,HFUL,0.17573411762093577,0.025744911122966722,0.05662739121897562,10000.0,166,0.1
1,SJIVE,0.16570909311638526,0.021899687024200254,0.049359190565655096,10000.0,166,0.1
2,OLS,4.7410022253738955,0.11583992034030643,22.592942021340534,10000.0,166,0.1
2,2SLS,1.2423061595175628,0.14952379281921846,1.6928483867944952,7.9773528442240975,166,0.1
2,UJIVE1,-0.07623105365461866,0.2633773129114315,0.26918848645272486,43.53328955925711,166,0.1
2,UJIVE2,-0.07553844150403936,0.26739181873015194,0.27309787487501114,43.62438081173808,166,0.1
2,JIVE1,-0.281218047594807,0.21796182796661528,0.2970454182596504,10000.0,166,0.1
2,JIVE2,-0.027239808017513446,0.2955341524460593,0.2962761595868903,46.34730940155437,166,0.1
2,HFUL,-0.05797814632143039,0.20596037031558856,0.20932183576645777,10000.0,166,0.1
2,SJIVE,-0.05959583074517745,0.219764202713599,0.2233158657558069,10000.0,166,0.1
3,OLS,4.557834409282541,0.04782918671040557,20.821683689150337,10000.0,166,0.1
3,2SLS,1.2994431929506471,0.08619949362527961,1.7747521053310522,8.252524388362122,166,0.1
3,UJIVE1,0.10010698823196018,0.13266014125807551,0.14268155035094932,52.283021490680596,166,0.1
3,UJIVE2,0.09722089516179658,0.13694883887007187,0.14640074132613293,52.201791160279264,166,0.1
3,JIVE1,-0.16646774601349806,0.10063489159759417,0.12834640206040865,10000.0,166,0.1
3,JIVE2,0.1584638306806914,0.14811969047643975,0.17323047611043857,55.72252264073713,166,0.1
3,HFUL,0.15814639457361052,0.09682893633556397,0.1218392184521961,10000.0,166,0.1
3,SJIVE,0.15526358640680388,0.0948477313243576,0.11895451258826065,10000.0,166,0.1
4,OLS,4.6474687780420405,0.08321274765326729,21.682178790528845,10000.0,166,0.1
4,2SLS,1.1679110063844316,0.09605742262156494,1.4600735414554606,7.862006314780494,166,0.1
4,UJIVE1,-0.15236668062031458,0.1043543695151083,0.12756997487836125,37.054201591278456,166,0.1
4,UJIVE2,-0.15114138341008287,0.10478085738653989,0.12762457516565356,37.10967435845616,166,0.1
4,JIVE1,-0.3441170178845977,0.10004616501341117,0.21846268701119972,10000.0,166,0.1
4,JIVE2,-0.11466869110989668,0.10557416286932737,0.11872307159018428,38.715743719057414,166,0.1
4,HFUL,-0.06296624432047444,0.1494167046206217,0.1533814525444474,10000.0,166,0.1
4,SJIVE,-0.06752589738818357,0.1435029781176504,0.14806272493572986,10000.0,166,0.1
5,OLS,4.630507301379483,0.07452403162815573,21.516121899756847,10000.0,166,0.1
5,2SLS,1.0267656471837778,0.32034559243456956,1.3745932866712915,7.675783345016448,166,0.1
5,UJIVE1,-0.3603158509928476,0.5393202599062461,0.669147772382946,34.13556879646457,166,0.1
5,UJIVE2,-0.3609044480021182,0.5283158986390928,0.6585679192268064,33.99556140671827,166,0.1
5,JIVE1,-0.542985705109598,0.3626522132869422,0.6574856892403096,10000.0,166,0.1
5,JIVE2,-0.3287717759454978,0.5542264406037386,0.6623173212620952,35.57635481280024,166,0.1
5,HFUL,-0.20770222513203115,0.28600748820848043,0.3291477025332774,10000.0,166,0.1
5,SJIVE,-0.22434129467750158,0.2908314397560402,0.3411604562536178,10000.0,166,0.1
6,OLS,4.653619674656092,0.08056930397934824,21.736745380325623,10000.0,166,0.1
6,2SLS,1.1916497026151738,0.1524096629193151,1.5724386766621476,7.838938417434351,166,0.1
6,UJIVE1,-0.12045083865322759,0.2382081782741668,0.25271658280643267,41.35394623735888,166,0.1
6,UJIVE2,-0.11997370014447226,0.23587163828869917,0.250265327015055,41.34162890227033,166,0.1
6,JIVE1,-0.28453083942346563,0.202716944749177,0.283674743332199,10000.0,166,0.1
6,JIVE2,-0.07976754332824576,0.2517965180160472,0.25815937898467084,43.433450732090606,166,0.1
6,HFUL,-0.012020401912575873,0.21298140981665942,0.21312589987879932,10000.0,166,0.1
6,SJIVE,0.014458736755845126,0.21643457428484997,0.2166436293534248,10000.0,166,0.1
7,OLS,4.6627283169774305,0.05876477302094844,21.799800130964126,10000.0,166,0.1
7,2SLS,1.1875567189391767,0.13118609801315337,1.5414770587107363,7.755898838874811,166,0.1
7,UJIVE1,-0.1452955356868138,0.219902363584074,0.24101315627459216,39.54580083339671,166,0.1
7,UJIVE2,-0.14876309486437853,0.22362971621396183,0.24576017460758998,39.446978580081705,166,0.1
7,JIVE1,-0.37746400332374314,0.19788905062932732,0.34036812443451414,10000.0,166,0.1
7,JIVE2,-0.1127056703061381,0.2457942221848671,0.25849679030402306,41.41175988444458,166,0.1
7,HFUL,-0.11307356851369585,0.2549102490738611,0.2676958809702825,10000.0,166,0.1
7,SJIVE,-0.12018237340067943,0.2615263029838969,0.27597010586011717,10000.0,166,0.1
8,OLS,4.597882201341199,0.10379942330871142,21.244320160718907,10000.0,166,0.1
8,2SLS,1.174372663772092,0.1966889678399988,1.5758401212551572,7.955396983761782,166,0.1
8,UJIVE1,-0.11332732510054551,0.29989051383237486,0.31273359644681964,42.49582813208966,166,0.1
8,UJIVE2,-0.11691244757091653,0.29842289893731044,0.3120914193343328,42.30540577710364,166,0.1
8,JIVE1,-0.3330748815674345,0.2269709602832775,0.33790983701443794,10000.0,166,0.1
8,JIVE2,-0.07243585562703066,0.31991061224763445,0.3251575654280545,44.68349604640523,166,0.1
8,HFUL,-0.059046995726464234,0.23755522136129836,0.24104176906561942,10000.0,166,0.1
8,SJIVE,-0.07886579568678734,0.2310879944271837,0.2373078081564938,10000.0,166,0.1
9,OLS,4.718488909900207,0.03471767858407229,22.298855271435315,10000.0,166,0.1
9,2SLS,1.2700696705522287,0.07053990703057775,1.6836168750872247,7.97107593319196,166,0.1
9,UJIVE1,-0.02384498294507629,0.13173318132736794,0.13230176453901893,43.623799030605525,166,0.1
9,UJIVE2,-0.024376263337621572,0.13346928362800203,0.13406348584230712,43.62946026820587,166,0.1
9,JIVE1,-0.26007854758637006,0.08912036680519005,0.15676121771982582,10000.0,166,0.1
9,JIVE2,0.022033052384828354,0.14807949364037493,0.14856494903776754,46.0936301609928,166,0.1
9,HFUL,0.03371411650119904,0.14985234456997787,0.1509889862214343,10000.0,166,0.1
9,SJIVE,0.024853340498912614,0.12140221086125255,0.12201989939520745,10000.0,166,0.1
10,OLS,4.599329158735901,0.08729078198983735,21.241119492388126,10000.0,166,0.1
10,2SLS,1.282133348768895,0.10362378587680987,1.7474897099021511,8.24306811630651,166,0.1
10,UJIVE1,0.0603319869394779,0.129226632514626,0.1328665811626913,48.304849911870676,166,0.1
10,UJIVE2,0.059630382144374924,0.12767459503997228,0.13123037751465644,48.24745381087092,166,0.1
10,JIVE1,-0.15396523584964056,0.1095462899342516,0.13325158378448704,10000.0,166,0.1
10,JIVE2,0.1198924816987175,0.13864030287489162,0.15301451004276895,51.51096558589543,166,0.1
10,HFUL,0.08307470495858078,0.11157443369406701,0.11847584029802227,10000.0,166,0.1
10,SJIVE,0.09365709840808349,0.12111282892183026,0.12988448100405167,10000.0,166,0.1
1,OLS,1.7248615092798552,0.0671310610953085,3.0422782872904888,10000.0,166,0.2
1,2SLS,0.3222527922164332,0.0759530851312377,0.17979994722252537,29.824968431901773,166,0.2
1,UJIVE1,-0.01787143238849096,0.07861998447943001,0.07893937257504642,117.24274763961562,166,0.2
1,UJIVE2,-0.01660500018617068,0.07865271492821736,0.07892844095940008,117.40520717250106,166,0.2
1,JIVE1,-0.056975153854712635,0.0754610224821861,0.07870719063895429,10000.0,166,0.2
1,JIVE2,0.28625575284711724,0.10384456827545023,0.18578692431352012,160.6694082680581,166,0.2
1,HFUL,-0.003967995515120881,0.08143297125177626,0.08144871624018427,10000.0,166,0.2
1,SJIVE,-0.002666994528899136,0.08455596004920665,0.08456307290902382,10000.0,166,0.2
2,OLS,1.8973156398712114,0.02811198313547001,3.627918620435375,10000.0,166,0.2
