run,estimator,bias,variance,mse,fstat,num_instruments,strength
1,OLS,5.903561711453856,0.09410725953061869,34.94614814047459,10000.0,100,0.1
1,2SLS,1.3876288347668209,0.21964323043495754,2.145157013511283,8.34832886767039,100,0.1
1,UJIVE1,0.17135089790899896,0.33283501049080627,0.3621961407050264,45.02679569457639,100,0.1
1,UJIVE2,0.1680140712810936,0.33467423208936503,0.3629029602378133,44.90882599323011,100,0.1
1,JIVE1,-0.09099585075661905,0.2575131484677607,0.2657933933226816,10000.0,100,0.1
1,JIVE2,0.09355908481942998,0.32576923693259985,0.33452253928484915,41.766902595553724,100,0.1
1,HFUL,0.2113918388512414,0.23862323137012575,0.28330974090303496,10000.0,100,0.1
1,SJIVE,0.19341987798821375,0.23480031991414516,0.2722115691151207,10000.0,100,0.1
2,OLS,6.038869440061157,0.020671310215659683,36.48861542432021,10000.0,100,0.1
2,2SLS,1.4068696279722877,0.10210442422755842,2.081386574338441,7.930405322696027,100,0.1
2,UJIVE1,0.12427971727032591,0.20016440027989751,0.21560984840468964,42.07575726225951,100,0.1
2,UJIVE2,0.12874678987641971,0.19977827516933472,0.21635401107281765,42.25303670934415,100,0.1
2,JIVE1,-0.018000705910236125,0.2210682043416743,0.2213922297549411,10000.0,100,0.1
2,JIVE2,0.03948950145999739,0.19837465984247996,0.1999340805680391,38.60848176302611,100,0.1
2,HFUL,0.16315607739925284,0.1457405100541024,0.17236041564641338,10000.0,100,0.1
2,SJIVE,0.14389394450483892,0.15204260110905962,0.1727480683742213,10000.0,100,0.1
3,OLS,5.877187681181663,0.11723024887084439,34.65856528870434,10000.0,100,0.1
3,2SLS,1.2186555460533453,0.11430859284244269,1.59942993276902,7.967451000163791,100,0.1
3,UJIVE1,-0.07009488826881367,0.1737437049575769,0.17865699831899434,33.87468336174069,100,0.1
3,UJIVE2,-0.07039395778646076,0.1734340892630201,0.17838939855586208,33.859539035477134,100,0.1
3,JIVE1,-0.2382596973067072,0.08515401236171527,0.14192169572239904,10000.0,100,0.1
3,JIVE2,-0.1502787040511043,0.17099803974518066,0.19358172863646003,31.000609677585437,100,0.1
3,HFUL,-0.05854253078033182,0.18677876312440161,0.19020599103456773,10000.0,100,0.1
3,SJIVE,-0.09054530326690895,0.17748351306912785,0.18568196501282436,10000.0,100,0.1
4,OLS,5.82447760424307,0.039497437670683935,33.96403679999978,10000.0,100,0.1
4,2SLS,0.98797951154001,0.2386832362523962,1.2147867514752329,8.000815420860542,100,0.1
4,UJIVE1,-0.3624925849328899,0.5050423030942239,0.6364431772255523,28.205800241394165,100,0.1
4,UJIVE2,-0.36183405303357985,0.5056387700123591,0.6365626519470665,28.227420190714213,100,0.1
4,JIVE1,-0.4344843311913861,0.4695257977576025,0.6583024318084284,10000.0,100,0.1
4,JIVE2,-0.42230232933905104,0.49017203334621706,0.6685112907114055,26.226456428178672,100,0.1
4,HFUL,-0.28836489802604337,0.45431508582481017,0.5374694002383805,10000.0,100,0.1
4,SJIVE,-0.2966032310733832,0.4827178068077025,0.5706912834908733,10000.0,100,0.1
5,OLS,5.890578975844923,0.04772238767208594,34.74664305833829,10000.0,100,0.1
5,2SLS,1.2058900209319918,0.2268096515255072,1.680980394108867,7.8577665511665105,100,0.1
