run,estimator,bias,variance,mse,fstat,num_instruments,strength
1,OLS,3.7213006095272596,0.07113630461499235,13.919214531082947,10000.0,250,0.1
1,2SLS,1.3090454215251959,0.07449354720693938,1.7880934628230176,7.683201848878847,250,0.1
1,UJIVE1,0.004880332509733987,0.13177931333692636,0.13180313098233193,57.17943462116203,250,0.1
1,UJIVE2,0.005214259646605046,0.1309462297583429,0.13097341826200512,57.18287680329745,250,0.1
1,JIVE1,-0.29568248776503947,0.10283815336517936,0.1902662869361021,10000.0,250,0.1
1,JIVE2,0.22957017263619162,0.17596374811928198,0.22866621228349276,72.79545575145842,250,0.1
1,HFUL,-0.02998196322563862,0.12081930764157522,0.12171822576043875,10000.0,250,0.1
1,SJIVE,-0.024710589718959296,0.11549553165192439,0.1161061448961831,10000.0,250,0.1
2,OLS,3.6164237298739392,0.03955156180460717,13.118072155799942,10000.0,250,0.1
2,2SLS,1.1289473940777768,0.049201682929711714,1.3237239015247142,7.628710316081256,250,0.1
2,UJIVE1,-0.20880287362099517,0.08937688010428484,0.13297552013667013,43.27000001363454,250,0.1
2,UJIVE2,-0.20570271238123866,0.08767590364093207,0.12998950952193067,43.40003699573039,250,0.1
2,JIVE1,-0.48428590434772245,0.06458357681441994,0.2991164139643113,10000.0,250,0.1
2,JIVE2,-0.006244549154662571,0.11488950594561205,0.11492850033975706,54.82285983374995,250,0.1
2,HFUL,-0.21260858515809572,0.08025369081924902,0.12545610130217624,10000.0,250,0.1
2,SJIVE,-0.22331290318720126,0.08472099691535552,0.13458964964525183,10000.0,250,0.1
3,OLS,3.520782273689755,0.0038081080469270236,12.399715926774928,10000.0,250,0.1
3,2SLS,1.0693289660857972,0.04758737858837768,1.1910518162984975,7.935173585244355,250,0.1
3,UJIVE1,-0.2334045596337126,0.13013772745039637,0.18461541590820368,44.49438808868087,250,0.1
3,UJIVE2,-0.23409149017691547,0.13107337341858227,0.1858721991918312,44.47924393974682,250,0.1
3,JIVE1,-0.47140207841152026,0.1009328493485866,0.3231527688792877,10000.0,250,0.1
3,JIVE2,-0.020832704628490607,0.1844242495400899,0.18485825112222784,57.563682137368914,250,0.1
3,HFUL,-0.16631721972055272,0.0726602469452818,0.1003216645208564,10000.0,250,0.1
3,SJIVE,-0.17297998319593194,0.06080909807555677,0.09073117266202166,10000.0,250,0.1
4,OLS,3.6257404123508232,0.07989776845394472,13.225891306207862,10000.0,250,0.1
4,2SLS,1.2741391263896396,0.1521595804170357,1.7755900938139895,8.250989213275705,250,0.1
4,UJIVE1,0.04778057892364087,0.23889243602219895,0.24117541974447726,63.94840934349918,250,0.1
4,UJIVE2,0.04538199809518573,0.23688329067582375,0.2389428164269352,63.74498969518493,250,0.1
4,JIVE1,-0.23940920336457844,0.16315199978815223,0.2204687664438143,10000.0,250,0.1
4,JIVE2,0.30239244834005186,0.3009633667589404,0.39240455957203135,83.09313339491489,250,0.1
4,HFUL,0.04774362012368594,0.18478405005908752,0.18706350332160232,10000.0,250,0.1
4,SJIVE,0.044387493607211434,0.18179863807945776,0.183768887668188,10000.0,250,0.1
5,OLS,3.746055581301879,0.10530578613620498,14.138238204339165,10000.0,250,0.1
5,2SLS,1.3009862688520404,0.08490156995974217,1.7774668417012953,7.724796571777828,250,0.1
5,UJIVE1,-0.013402048848206926,0.1376027067512146,0.13778232166454432,55.06100959529243,250,0.1
5,UJIVE2,-0.012452694206941905,0.1363764040071231,0.13653147360013468,55.07962896101153,250,0.1
5,JIVE1,-0.27890727616451383,0.10543259087119224,0.18322185956870068,10000.0,250,0.1
5,JIVE2,0.2138159111952938,0.18196594668928062,0.22768319056955436,70.28006357316522,250,0.1
5,HFUL,0.019883678300825915,0.09983996566879863,0.1002353263315694,10000.0,250,0.1
5,SJIVE,0.01854388416350694,0.10198808554495906,0.10233196118482861,10000.0,250,0.1
6,OLS,3.670509457807795,0.03069661030828099,13.50333629016475,10000.0,250,0.1
6,2SLS,1.4462209512388842,0.08271060576472536,2.1742656455670284,8.446254550665978,250,0.1
